"","ideology","inequality","trust"
"1",2,10,3
"2",2,8,5
"3",3,6,10
"4",3,10,8
"5",3,10,5
"6",3,7,7
"7",2,7,2
"8",2,10,10
"9",3,8,10
"10",5,3,7
"11",3,6,10
"12",4,2,9
"13",4,10,6
"14",2,10,8
"15",2,10,9
"16",1,10,10
"17",2,9,8
"18",4,6,7
"19",1,10,9
"20",3,9,8
"21",1,9,10
"22",2,10,8
"23",2,9,9
"24",4,9,4
"25",1,10,7
"26",2,9,8
"27",2,5,8
"28",4,2,4
"29",2,5,7
"30",5,5,7
"31",2,10,3
"32",4,3,2
"33",2,10,9
"34",3,8,10
"35",1,10,8
"36",2,9,8
"37",2,10,6
"38",3,8,7
"39",3,7,4
"40",2,10,6
"41",4,6,6
"42",2,5,1
"43",3,6,8
"44",1,10,2
"45",3,7,4
"46",2,10,6
"47",3,10,10
"48",1,9,8
"49",1,10,8
"50",2,7,8
"51",4,4,8
"52",3,7,9
"53",4,4,7
"54",2,9,8
"55",4,7,9
"56",2,9,7
"57",2,7,7
"58",2,8,7
"59",2,8,7
"60",2,7,7
"61",2,8,8
"62",5,NA,NA
"63",1,9,6
"64",1,10,7
"65",1,10,8
"66",1,10,10
"67",5,1,10
"68",2,10,9
"69",1,10,9
"70",4,10,6
"71",3,8,9
"72",2,10,7
"73",2,9,8
"74",3,6,7
"75",1,10,9
"76",1,10,9
"77",2,8,8
"78",1,10,9
"79",4,3,5
"80",3,8,7
"81",2,6,2
"82",2,10,7
"83",4,8,7
"84",1,10,10
"85",4,6,8
"86",1,10,5
"87",4,9,8
"88",4,9,4
"89",3,3,8
"90",1,10,8
"91",3,5,9
"92",5,4,4
"93",1,7,6
"94",4,3,5
"95",5,2,8
"96",1,10,7
"97",4,9,9
"98",2,10,6
"99",2,9,8
"100",5,4,7
"101",2,9,6
"102",1,10,8
"103",1,8,8
"104",1,10,6
"105",2,9,8
"106",2,10,7
"107",4,5,5
"108",3,9,7
"109",1,10,8
"110",1,8,6
"111",4,9,8
"112",1,10,5
"113",2,10,10
"114",2,7,7
"115",2,9,8
"116",4,NA,8
"117",2,10,5
"118",1,10,4
"119",2,6,6
"120",4,7,8
"121",1,10,10
"122",2,8,7
"123",2,7,9
"124",1,9,9
"125",3,8,5
"126",NA,9,7
"127",4,7,7
"128",1,7,9
"129",1,10,6
"130",4,2,3
"131",2,7,7
"132",2,8,10
"133",2,10,9
"134",2,4,1
"135",1,8,8
"136",1,NA,NA
"137",1,10,10
"138",NA,10,4
"139",5,7,9
"140",4,7,8
"141",1,9,8
"142",2,10,9
"143",5,1,9
"144",2,10,7
"145",1,9,7
"146",2,10,8
"147",1,9,7
"148",4,6,9
"149",2,1,7
"150",4,3,7
"151",4,4,NA
"152",1,8,5
"153",2,7,5
"154",3,3,4
"155",2,8,9
"156",2,9,8
"157",2,8,5
"158",1,10,8
"159",4,6,8
"160",4,8,9
"161",3,5,NA
"162",5,5,6
"163",1,10,9
"164",1,10,8
"165",2,10,7
"166",2,8,8
"167",2,7,7
"168",4,6,7
"169",NA,10,7
"170",1,10,7
"171",1,9,7
"172",3,9,8
"173",3,6,5
"174",1,8,7
"175",3,6,2
"176",4,7,4
"177",1,8,8
"178",1,10,7
"179",1,9,9
"180",4,6,5
"181",2,8,8
"182",2,10,8
"183",2,10,7
"184",1,9,7
"185",4,7,8
"186",5,5,10
"187",1,10,9
"188",2,10,6
"189",4,5,7
"190",4,6,8
"191",2,10,6
"192",2,10,8
"193",3,8,8
"194",1,10,6
"195",1,10,9
"196",3,4,6
"197",2,9,10
"198",2,9,8
"199",3,7,10
"200",1,10,6
"201",5,3,6
"202",5,9,7
"203",4,5,8
"204",2,9,9
"205",4,5,4
"206",3,10,6
"207",5,5,8
"208",3,6,7
"209",2,7,9
"210",2,7,8
"211",2,10,10
"212",2,10,7
"213",2,9,7
"214",4,5,7
"215",3,7,8
"216",1,10,9
"217",2,10,7
"218",1,10,8
"219",2,5,3
"220",1,10,8
"221",4,6,8
"222",4,7,5
"223",2,10,8
"224",2,10,9
"225",2,8,7
"226",5,4,7
"227",1,10,7
"228",NA,8,7
"229",2,9,8
"230",2,9,6
"231",1,10,8
"232",2,9,8
"233",2,10,9
"234",5,4,9
"235",1,10,5
"236",1,5,3
"237",2,8,6
"238",2,9,8
"239",2,5,6
"240",1,10,7
"241",1,10,6
"242",2,8,9
"243",4,3,7
"244",1,9,8
"245",2,6,7
"246",1,10,7
"247",3,9,9
"248",4,5,7
"249",1,10,7
"250",1,10,10
"251",5,6,7
"252",3,7,3
"253",1,10,7
"254",4,6,7
"255",2,8,7
"256",2,9,6
"257",4,5,8
"258",2,9,7
"259",3,10,6
"260",4,4,8
"261",5,5,5
"262",3,7,7
"263",2,8,7
"264",4,7,7
"265",5,7,5
"266",3,8,9
"267",2,8,9
"268",4,8,10
"269",4,8,8
"270",2,7,6
"271",4,4,8
"272",1,10,9
"273",1,10,7
"274",2,NA,5
"275",5,2,7
"276",2,9,8
"277",1,10,8
"278",NA,10,8
"279",1,10,9
"280",4,5,8
"281",2,5,7
"282",1,10,8
"283",5,6,5
"284",1,10,8
"285",1,10,9
"286",3,10,5
"287",1,10,10
"288",2,8,8
"289",4,8,5
"290",5,7,6
"291",4,3,3
"292",3,6,7
"293",3,8,8
"294",2,8,9
"295",1,10,9
"296",2,9,5
"297",2,8,6
"298",4,7,9
"299",1,10,7
"300",1,10,7
"301",5,1,6
"302",1,7,8
"303",4,1,7
"304",3,5,5
"305",2,8,7
"306",3,7,7
"307",2,8,7
"308",2,8,9
"309",1,8,8
"310",1,9,8
"311",2,5,8
"312",1,10,8.5
"313",2,8,6
"314",1,8,8
"315",2,6,4
"316",3,7,7
"317",3,10,7
"318",5,5,5
"319",4,6,6
"320",4,6,8
"321",4,6,7
"322",1,9,8
"323",1,10,8
"324",2,10,8
"325",4,6,7
"326",2,10,8
"327",3,6,8
"328",1,10,8
"329",5,1,8
"330",4,4,4
"331",3,7,8
"332",4,10,8
"333",2,10,8
"334",2,8,8
"335",1,10,8
"336",1,10,2
"337",2,10,9
"338",3,9,6
"339",1,10,7
"340",5,2,8
"341",1,6,1
"342",4,5,8
"343",2,6,8
"344",4,5,6
"345",1,8,8
"346",2,10,7
"347",4,5,5
"348",1,10,10
"349",3,5,7
"350",2,10,7
"351",1,10,9
"352",3,10,10
"353",1,10,7
"354",4,4,7
"355",NA,3,8
"356",2,7,8
"357",4,5,7
"358",1,8,8
"359",4,3,8
"360",4,7,9
"361",2,8,8
"362",4,10,6
"363",1,8,6
"364",1,10,9
"365",2,8,6
"366",2,10,7
"367",2,9,8
"368",3,7,7
"369",4,7,8
"370",2,8,8
"371",3,6,7
"372",1,10,9
"373",2,8,6
"374",1,7,9
"375",1,10,8
"376",2,9,7
"377",4,8,7
"378",3,6,7
"379",4,3,5
"380",4,7,7
"381",1,8,7
"382",4,5,7
"383",2,8,9
"384",1,10,10
"385",1,9,8
"386",3,8,6
"387",2,6,8
"388",2,8,8
"389",1,8,5
"390",2,9,9
"391",4,6,7
"392",1,7,3
"393",5,1,7
"394",2,10,7
"395",1,10,7
"396",1,10,5
"397",1,10,9
"398",1,10,7
"399",1,10,8
"400",2,9,7
"401",3,5,8
"402",2,10,7
"403",1,10,9
"404",3,3,8
"405",2,9,7
"406",2,6,4
"407",1,9,8
"408",4,7,7
"409",4,6,6
"410",3,8,7
"411",1,10,8
"412",4,4,5
"413",2,7,5
"414",4,8,9
"415",3,6,6
"416",1,10,10
"417",1,8,4
"418",4,7,8
"419",1,10,7
"420",1,10,7
"421",2,7,9
"422",4,8,8
"423",3,9,6
"424",4,6,8
"425",2,10,5
"426",5,5,7
"427",4,6,6
"428",1,10,7
"429",1,10,3
"430",1,10,5
"431",1,10,9
"432",5,1,7
"433",1,10,9
"434",1,10,7
"435",5,3,4
"436",1,8,2
"437",3,7,9
"438",1,10,8
"439",1,7,10
"440",1,10,8
"441",3,6,6
"442",1,10,9
"443",2,10,9
"444",2,9,8
"445",4,5,6
"446",1,9,9
"447",1,10,10
"448",1,10,8
"449",1,8,9
"450",2,8,8
"451",1,10,7
"452",1,10,8
"453",1,10,7
"454",5,1,8
"455",2,7,8
"456",2,9,7
"457",2,7,4
"458",4,6,6
"459",1,10,8
"460",4,6,5
"461",1,10,10
"462",3,7,8
"463",1,10,7
"464",3,7,3
"465",2,10,10
"466",2,8,8
"467",2,6,6
"468",3,10,9
"469",4,1,7
"470",2,10,7
"471",3,9,7
"472",3,8,8
"473",1,9,9
"474",1,10,8
"475",1,10,9
"476",2,9,7
"477",1,10,8
"478",4,7,7
